"IDPIF","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2004322050","135","655.53","0","0","3","GALICIA","32","OURENSE","O RIBEIRO-ARENTEIRO","SAN CRISTOVO DE CEA","42.565781","-7.987553","2004-07-14","1785","1950","1","4","SIN DATOS","119","17","17","0","158418"
"2004490222","135","655.53","0","0","17","CASTILLA Y LEON","49","ZAMORA","EL PUENTE","PÍAS","42.107452","-6.945089","2004-04-15","960","1140","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","2","0","0","0","0"
"2004490224","135","655.53","0","0","17","CASTILLA Y LEON","49","ZAMORA","EL PUENTE","PÍAS","42.107452","-6.945089","2004-04-15","960","1140","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","2","0","0","0","0"
"2005152103","135","655.53","0","0","3","GALICIA","15","A CORUÑA","FISTERRA","CARNOTA","42.804525","-9.119988","2005-08-22","590","625","1","4","RECHAZO A LA CREACIÓN O EXISTENCIA DE ESPACIOS NATURALES PROTEGIDOS","34","4","0","0","0"
"2006410082","134.9","655.29","0","0","4","ANDALUCIA","41","SEVILLA","ALJARAFE","AZNALCÁZAR","37.15132","-6.204744","2006-08-06","300","405","1","4","SIN DATOS","16","2","0","0","0"
"2003400030","134.48","654.27","0","0","17","CASTILLA Y LEON","40","SEGOVIA","CUELLAR","MATA DE CUELLAR","40.886554","-4.234449","2003-08-02","1155","7155","0","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","165","17","8","0","616500"
"2011322291","134.08","653.29","0","0","3","GALICIA","32","OURENSE","MIÑO-ARNOIA","ESGOS","42.356598","-7.667429","2011-10-14","1162","1605","1","4","OTRAS MOTIVACIONES","37","5","0","0","110299"
"2012270413","134","653.10","0","0","3","GALICIA","27","LUGO","FONSAGRADA-OS ANCARES","OTRA PROVINCIA","43.033441","-6.954861","2012-08-10","691","1451","0","2","OTRAS NEGLIGENCIAS (ACTIVIDADES APÍCOLAS)","92","13","2","0","467845"
"2002240196","134","653.1","0","0","17","CASTILLA Y LEON","24","LEON","LEON","GARRAFE DE TORIO","42.740879","-5.532199","2002-04-21","421","561","0","5","CAUSA DESCONOCIDA","43","5","1","0","224331"
"2010331234","134","653.1","0","0","5","ASTURIAS","33","ASTURIAS","NARCEA","ALLANDE","43.209128","-6.633261","2010-04-28","0","0","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","27","3","3","0","0"
"2007120019","133.84","652.71","0","0","9","C. VALENCIANA","12","CASTELLON","EL BAIX MAESTRAT","CERVERA DEL MAESTRE","40.499662","0.293539","2007-03-08","1788","3708","1","4","PROVOCADOS POR PIRÓMANOS","59","3","2","0","0"
"2004110067","133.54","651.97","0","0","4","ANDALUCIA","11","CADIZ","LA JANDA","ALCALÁ  DE LOS GAZULES","36.470557","-5.812417","2004-07-26","350","1275","0","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","143","5","6","0","0"
"2006110098","133.5","651.88","0","0","4","ANDALUCIA","11","CADIZ","CAMPO DE GIBRALTAR","TARIFA","36.045827","-5.583462","2006-08-31","855","1995","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","153","13","4","0","0"
"2005120025","133.38","651.58","0","0","9","C. VALENCIANA","12","CASTELLON","EL BAIX MAESTRAT","ALCALÀ DE XIVERT","40.255263","0.277755","2005-04-09","1600","4740","0","2","OTRAS NEGLIGENCIAS (OTRAS)","110","0","5","0","0"
"2004060194","133.2","651.14","0","0","14","EXTREMADURA","6","BADAJOZ","TENTUDIA","USAGRE","38.462857","-6.15762","2004-07-18","285","390","1","4","SIN DATOS","28","3","0","0","0"
"2002322962","133","650.66","0","0","3","GALICIA","32","OURENSE","VALDEORRAS-TRIVES","VEIGA, A","42.242694","-7.008989","2002-08-21","310","2160","1","4","SIN DATOS","53","4","9","0","0"
"2006361645","133","650.66","0","0","3","GALICIA","36","PONTEVEDRA","CALDAS-O SALNES","PONTE CALDELAS","42.394235","-8.496334","2006-08-07","385","805","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","50","3","0","7234","517273"
"2009490084","133","650.66","0","0","17","CASTILLA Y LEON","49","ZAMORA","EL PUENTE","S JUSTO","42.160123","-6.637779","2009-02-27","375","395","1","4","PROVOCADOS POR CAMPESINOS PARA ELIMINAR MATORRAL Y RESIDUOS AGRÍCOLAS","35","1","1","0","0"
