"idCCAA_INE","idComunidad","comunidad","idProvincia","provincia","idMunicipio","municipio","num_incendios","supquemada"
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16162,"PORTALRUBIO DE GUADAMEJUD",5,7.7100
"07",17,"CASTILLA Y LEON",34,"PALENCIA",34186,"VALBUENA DE PISUERGA",5,36.0000
"07",17,"CASTILLA Y LEON",47,"VALLADOLID",47122,"PORTILLO",5,643.3800
"07",17,"CASTILLA Y LEON","09","BURGOS","09168","HORRA LA",5,1.3200
"08",11,"CASTILLA-MANCHA",13,"CIUDAD REAL",13032,"CARRIZOSA",5,2.9400
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37230,"PARADA DE ARRIBA",5,0.5500
"09","02","CATALUÑA",25,"LLEIDA",25153,"OMELLONS, ELS",5,6.8700
11,14,"EXTREMADURA",10,"CACERES",10999,"OTRA PROVINCIA",5,7704.8800
10,"09","C. VALENCIANA",46,"VALENCIA",46203,"POBLA LLARGA, LA",5,1.8300
13,16,"MADRID",28,"MADRID",28154,"TORRES DE LA ALAMEDA",5,80.1100
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37238,"PEDROSILLO EL RALO",5,1.4600
13,16,"MADRID",28,"MADRID",28075,"LOECHES",5,4.1100
"07",17,"CASTILLA Y LEON",40,"SEGOVIA",40183,"S MIGUEL DE BERNUY",5,3.3300
10,"09","C. VALENCIANA","03","ALICANTE","03027","BENIARDÁ",5,17.2200
11,14,"EXTREMADURA","06","BADAJOZ","06045","ENTRÍN BAJO",5,5.1000
"01","04","ANDALUCIA",41,"SEVILLA",41016,"BOLLULLOS DE LA MITACIÓN",5,4.6100
"01","04","ANDALUCIA",29,"MALAGA",29010,"ALMARGEN",5,7.2000
"07",17,"CASTILLA Y LEON","05","AVILA","05053","CASASOLA",5,101.3700
"08",11,"CASTILLA-MANCHA",19,"GUADALAJARA",19189,"MOHERNANDO",5,2.1200
"09","02","CATALUÑA","08","BARCELONA","08016","BAGÀ",5,0.1300
"07",17,"CASTILLA Y LEON","09","BURGOS","09108","COGOLLOS",5,1.9800
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37147,"GARCIBUEY",5,75.6100
10,"09","C. VALENCIANA",46,"VALENCIA",46046,"BARX",5,267.5000
"08",11,"CASTILLA-MANCHA","02","ALBACETE","02063","POZOHONDO",5,10.8000
"07",17,"CASTILLA Y LEON","09","BURGOS","09197","MADRIGALEJO DEL MONTE",5,11.9600
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37275,"SALDEANA",5,10.2200
13,16,"MADRID",28,"MADRID",28140,"SERRANILLOS DEL VALLE",5,7.4900
"05",12,"CANARIAS",38,"S.C. TENERIFE",38039,"SANTA ÚRSULA",5,0.7500
"07",17,"CASTILLA Y LEON",47,"VALLADOLID",47047,"CASTROVERDE DE CERRATO",5,2.1800
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16193,"SAN PEDRO  PALMICHES",5,0.5600
"09","02","CATALUÑA",25,"LLEIDA",25058,"BORGES BLANQUES, LES",5,3.8100
"07",17,"CASTILLA Y LEON",42,"SORIA",42132,"NOVIERCAS",5,3.8000
15,13,"NAVARRA",31,"NAVARRA",31262,"ZABALZA/ZABALTZA",5,162.2100
16,"01","EUSKADI",20,"GUIPUZCOA",20039,"GETARIA",5,6.1600
"02",10,"ARAGON",50,"ZARAGOZA",50037,"ATEA",5,6.4000
"02",10,"ARAGON",50,"ZARAGOZA",50116,"FUENTES DE JILOCA",5,1.8700
"02",10,"ARAGON",44,"TERUEL",44221,"TORRECILLA DE ALCAÑIZ",5,0.9700
"07",17,"CASTILLA Y LEON",47,"VALLADOLID",47200,"VILLACO",5,2.0200
"02",10,"ARAGON",22,"HUESCA",22066,"BOLTAÑA",5,1.2700
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16163,"PORTILLA",5,0.1700
"01","04","ANDALUCIA",29,"MALAGA",29039,"CASABERMEJA",5,39.4100
"01","04","ANDALUCIA",41,"SEVILLA",41101,"VILLAVERDE DEL RÍO",5,1.4000
"02",10,"ARAGON",44,"TERUEL",44224,"TORRE DE LAS ARCAS",5,1436.3000
"01","04","ANDALUCIA",29,"MALAGA",29019,"ARENAS",5,16.4100
